ID,order_key,part_supply_ID,line_number,quantity,extended_price,discount,tax,return_flag,line_status,ship_date,commitment_date,receipt_date,ship_instructions,ship_mode,comments
568,838,75,2,5,12.37,0.44,3.52,Y,Pending,2023-12-19,2023-10-18,2023-12-03,Sound argue discussion institution student structure issue call.,Air,Care clearly rise ahead skin.
569,28,166,2,2,36.76,0.22,9.63,N,Pending,2023-03-14,2023-05-22,2024-02-02,Front through choice tree eye.,Sea,Take tough kitchen perhaps.
570,672,198,4,3,41.69,0.1,4.27,Y,Shipped,2023-07-20,2023-08-13,2023-07-02,Create find view.,Land,Bank understand today organization into success contain.
571,925,55,4,5,88.13,0.17,6.44,N,Shipped,2023-08-19,2024-01-11,2023-04-14,Tonight daughter Mrs.,Sea,Case travel reason social create.
572,425,98,3,9,51.28,0.31,6.07,N,Shipped,2023-06-22,2024-01-02,2023-07-21,Town process hope white.,Land,Each happen mother employee too.
573,810,13,3,8,66.72,0.46,1.84,N,Pending,2023-10-07,2024-02-01,2023-02-14,Health experience as throughout edge cup.,Land,Send bad heart must.
574,267,56,4,5,94.19,0.06,8.1,N,Shipped,2023-10-25,2023-06-18,2023-04-20,Rise artist ago lawyer model growth my skin.,Land,Around approach item culture security military.
575,742,32,2,9,54.55,0.39,4.51,N,Pending,2023-06-08,2024-01-09,2023-09-10,Nor society stay out.,Land,Third blood message season yourself stock.
576,919,106,1,10,60.16,0.39,3.18,Y,Shipped,2023-03-15,2023-03-30,2023-09-11,Mention wall husband.,Sea,Current specific study open section.
577,987,157,5,7,68.21,0.41,6.26,N,Shipped,2023-12-06,2024-01-26,2024-01-05,The small husband leader woman population.,Land,Woman Congress make hundred star event.
578,110,87,2,9,94.07,0.1,2.67,N,Pending,2023-06-14,2023-07-24,2023-10-21,They else great dream argue key traditional.,Sea,Fish poor first economic live arrive very history.
579,576,110,3,4,98.11,0.05,1.67,N,Pending,2023-04-11,2023-08-01,2024-01-03,Get listen reach treat.,Air,Cause fear control million know.
580,747,158,2,2,26.21,0.38,8.82,Y,Pending,2024-01-08,2023-09-19,2023-10-18,Professor fund rock each.,Land,Participant east itself third.
581,875,77,2,10,97.41,0.11,3.05,Y,Pending,2023-08-25,2023-10-09,2023-06-17,Relationship program than old manage whole he.,Sea,Catch write role view song.
582,881,6,3,10,39.1,0.34,1.42,N,Pending,2023-05-30,2023-04-29,2023-10-24,Box fire daughter life reflect.,Sea,Detail bring project store.
583,955,46,3,1,90.06,0.42,4.74,N,Pending,2023-09-27,2023-02-23,2024-02-13,Throw employee Congress significant increase.,Land,Factor interest beautiful might sometimes.
584,693,3,1,1,54.66,0.01,6.83,N,Pending,2023-12-26,2023-11-14,2023-03-05,Event task sea official upon south.,Air,Put such five spring us.
585,298,144,5,8,60.6,0.07,3.38,Y,Shipped,2023-02-23,2023-06-22,2023-11-01,Help thought that result win.,Sea,Usually name interview raise.
586,825,154,3,9,96.22,0.2,4.53,Y,Pending,2023-02-15,2023-07-11,2023-03-02,Hard manage majority.,Sea,Door cultural environmental population story very.
587,41,194,4,4,18.76,0.09,1.5,Y,Pending,2023-11-29,2023-09-09,2023-09-16,Particularly natural eight when improve.,Sea,Our when everybody movie.
588,567,52,5,10,27.13,0.36,2.5,Y,Shipped,2023-09-25,2023-12-19,2023-04-25,Daughter summer available myself.,Sea,Increase both red today note.
589,299,24,1,1,81.42,0.26,4.6,Y,Shipped,2023-03-22,2023-10-01,2023-03-06,Structure account sure goal artist.,Sea,Able figure campaign resource box plant.
590,72,195,4,4,70.82,0.4,2.0,Y,Pending,2023-06-22,2023-03-03,2023-04-09,Character like around glass.,Sea,Into air hit available operation.
591,662,175,1,3,86.87,0.44,1.39,N,Pending,2023-12-15,2023-06-28,2023-11-05,Early try put size human network west.,Sea,Body although responsibility only.
592,491,199,2,10,55.97,0.32,7.73,Y,Shipped,2023-06-06,2023-11-15,2023-12-15,Though happen former who couple establish.,Air,Born data Republican sea prevent surface enter.
593,106,30,1,9,31.34,0.17,7.73,N,Shipped,2023-09-14,2023-11-29,2023-04-05,Quite final popular.,Sea,Manage population national those.
594,653,19,2,6,79.33,0.38,1.14,N,Shipped,2023-09-03,2024-02-12,2023-06-27,Present approach rest operation explain final.,Air,Control claim medical often.
595,183,10,1,5,18.63,0.11,8.38,Y,Pending,2023-07-29,2023-10-15,2023-06-06,Lose alone her product worker responsibility society.,Land,Project race knowledge wish health unit.
596,18,60,1,3,40.38,0.28,7.89,N,Pending,2023-09-24,2023-12-03,2023-08-13,Guess teacher sport.,Land,Attack drive represent gun much image seem.
597,179,101,5,1,54.02,0.0,9.31,N,Pending,2023-04-19,2023-06-18,2023-03-18,Summer civil food professor in experience heart.,Land,Feeling new forward myself.
598,472,169,1,2,88.8,0.17,8.94,N,Pending,2023-07-20,2024-02-12,2023-03-19,Better care upon choice and security trouble.,Air,Idea set what.
599,182,196,2,6,63.57,0.05,9.47,Y,Shipped,2023-04-14,2023-07-24,2023-07-03,Raise whether three network follow check.,Air,Nice technology positive skin shake offer education.
600,878,104,2,5,19.46,0.45,2.02,N,Pending,2023-03-11,2024-01-23,2023-08-01,Road response bed.,Air,Pressure receive west green discussion my range.
601,890,85,2,3,67.43,0.33,2.69,N,Pending,2023-08-16,2023-03-14,2024-02-04,Science section test order.,Land,Either picture participant.
602,544,20,2,1,45.89,0.44,2.46,Y,Shipped,2023-05-27,2023-10-12,2023-08-10,Traditional push force test produce let.,Air,Themselves run its why TV middle authority social.
603,263,177,2,2,30.55,0.3,3.2,N,Pending,2023-10-26,2023-08-20,2023-12-12,Whatever but weight not.,Land,Her it outside teacher camera pattern difference bar.
604,584,48,3,4,98.23,0.27,2.62,N,Shipped,2023-05-08,2023-08-29,2023-12-29,Order partner push over reflect on plant ability.,Land,Condition then security.
605,842,79,4,9,51.7,0.2,1.76,N,Pending,2023-05-11,2023-12-30,2023-12-21,Service dinner maintain factor.,Air,House cause line safe music seven.
606,253,158,1,3,11.82,0.44,7.4,N,Shipped,2024-02-06,2023-05-25,2023-08-29,Against democratic network bar all.,Sea,Tough next some reveal go family itself.
607,874,73,4,7,80.84,0.38,3.65,Y,Shipped,2023-11-14,2023-05-07,2023-12-31,Paper fill blood artist space forget recognize.,Land,Beyond trade hard most city affect growth.
608,25,137,5,2,67.15,0.28,8.03,Y,Pending,2023-07-31,2024-01-04,2023-04-24,Project hope former direction.,Land,Event attack industry themselves adult trial.
609,511,155,1,7,41.91,0.32,9.8,Y,Pending,2023-08-24,2023-05-09,2023-12-15,Car family employee chance up lot usually.,Air,Up recently onto down.
610,72,176,5,5,21.84,0.45,4.37,Y,Pending,2023-04-30,2023-05-04,2023-07-07,Happy just quality per stay help American.,Sea,Product assume believe size high.
611,585,57,3,8,78.52,0.4,2.29,N,Shipped,2023-03-10,2024-01-25,2023-10-31,Determine add even professional we budget cultural.,Air,Stop performance boy trouble new contain activity anyone.
612,900,52,2,10,59.58,0.38,2.16,Y,Shipped,2023-08-25,2023-12-07,2023-08-12,Wind north hard property.,Land,Real up mother.
613,909,57,4,5,16.23,0.31,5.16,N,Pending,2024-02-13,2023-03-31,2023-09-05,Shoulder project western.,Air,Trade recent else word current establish miss.
614,296,6,3,7,11.26,0.24,1.31,N,Pending,2023-04-14,2023-12-19,2023-07-23,Today daughter experience still several card condition.,Sea,Analysis involve law man leave we.
615,569,111,5,3,74.39,0.32,8.04,Y,Shipped,2023-06-03,2023-08-31,2023-12-25,Cell bar do prevent.,Land,Four arrive wide catch election give.
616,90,198,1,6,89.92,0.31,5.01,Y,Pending,2023-03-31,2023-02-25,2023-08-03,Century north throughout send throw painting.,Air,Parent himself available follow stop.
617,155,194,2,6,62.72,0.38,2.91,Y,Shipped,2023-05-11,2023-03-21,2024-02-01,Table exactly avoid performance sea them home teacher.,Air,Clear air suggest contain system respond air other.
618,233,121,4,1,89.59,0.35,5.27,N,Pending,2023-08-16,2023-08-11,2023-06-28,Support throughout including class answer.,Land,Might line site even.
619,200,75,5,8,53.56,0.2,7.25,N,Shipped,2023-07-29,2023-11-20,2023-07-26,Because fill walk provide move decision other.,Sea,But group visit religious.
620,48,151,1,10,55.92,0.3,1.34,N,Shipped,2023-11-09,2023-08-21,2024-01-13,Low perform trip job me especially.,Air,Career four own grow again.
621,538,120,1,7,69.55,0.2,8.23,N,Shipped,2024-01-03,2023-08-31,2023-05-27,Finish man officer much.,Air,Relationship sense say evening.
622,651,122,1,5,98.22,0.25,2.4,N,Pending,2023-04-28,2023-04-27,2023-03-26,Necessary approach say likely.,Air,Six experience success whatever.
623,150,185,3,7,53.62,0.07,1.49,Y,Pending,2024-01-22,2023-12-25,2024-02-10,Along whatever space boy.,Land,Player party news consumer exactly Congress.
624,351,143,3,9,35.44,0.08,7.65,N,Pending,2023-11-24,2023-08-28,2023-07-30,Paper executive eye room.,Land,Recent go wait know blood break.
625,460,102,3,1,21.45,0.23,5.97,N,Pending,2023-05-17,2023-11-19,2023-11-22,Discover woman past central among.,Sea,Word age person message.
626,286,19,5,4,64.24,0.29,8.81,N,Pending,2023-11-24,2023-08-24,2023-10-10,Develop today movement condition wide professional.,Sea,Stop finally old better benefit economic because relate.
627,999,85,5,2,93.98,0.49,2.54,Y,Pending,2023-11-01,2023-09-12,2023-03-04,Build pressure site growth your goal focus.,Sea,Officer threat carry range dark quickly heart.
628,402,33,1,3,71.11,0.26,4.36,Y,Pending,2023-04-19,2023-03-29,2023-11-16,Common yet husband professional rock over letter.,Sea,Surface interview appear both increase authority.
629,925,51,4,7,27.84,0.2,2.19,N,Shipped,2023-10-23,2023-08-07,2023-05-17,Material item model protect.,Land,Add experience TV as.
630,18,32,4,7,93.09,0.18,6.18,N,Shipped,2023-05-20,2024-01-17,2023-10-12,Republican safe commercial part.,Land,Position from music program choose.
631,357,135,2,5,79.45,0.18,7.38,N,Pending,2023-10-07,2023-12-20,2023-05-13,Group few believe her.,Air,Indicate wind information on mouth.
632,360,95,1,4,15.13,0.34,5.83,N,Pending,2023-09-19,2023-03-09,2023-12-21,Break market simple fish other painting tax actually.,Air,Soldier environmental number station least.
633,276,52,5,2,23.97,0.45,4.31,Y,Pending,2023-06-06,2023-07-05,2023-03-10,Painting less participant.,Land,Call ball huge he court.
634,506,193,5,3,17.69,0.45,4.65,Y,Shipped,2023-05-05,2024-02-07,2023-04-17,Relationship age section.,Sea,So pressure able staff play particularly walk involve.
635,728,109,2,1,66.0,0.01,1.64,Y,Pending,2023-10-13,2023-10-16,2023-03-14,Personal own theory.,Sea,Firm participant democratic type within.
636,839,189,4,4,95.73,0.19,2.17,Y,Pending,2023-10-17,2023-03-14,2023-06-28,Represent team drop check consider phone.,Air,Hot evening remain.
637,648,65,1,5,58.95,0.1,6.02,N,Shipped,2024-01-31,2023-11-19,2024-02-13,Discussion exist risk.,Land,Color security woman course easy.
638,383,115,5,7,97.19,0.01,6.51,N,Pending,2023-12-19,2024-01-14,2023-03-19,Possible call before section positive operation.,Land,Consider traditional situation structure fund community.
639,732,192,2,6,74.06,0.24,2.88,Y,Pending,2023-04-27,2023-11-12,2023-10-08,Parent moment your either how cup.,Land,Cold along town recent late born.
640,909,24,3,7,59.79,0.4,8.32,Y,Shipped,2023-07-18,2023-11-01,2023-07-19,Congress security center large company hit senior adult.,Land,Feel leader marriage section.
641,533,47,2,4,19.6,0.18,7.25,N,Shipped,2023-12-16,2023-06-18,2023-12-14,Could step she them writer cold tend.,Land,Decide perform example including.
642,761,101,4,2,29.11,0.19,9.81,Y,Pending,2023-02-14,2023-06-14,2023-05-30,Option by edge toward tell.,Land,Process fish interest too our cultural.
643,140,61,5,6,55.09,0.15,2.63,N,Shipped,2023-07-13,2024-02-09,2023-11-28,Bar whether live.,Air,Trip walk ready soldier effect.
644,6,187,2,1,73.82,0.41,1.39,Y,Pending,2023-11-30,2023-10-28,2024-01-20,Material court season return meet security.,Air,Religious party exactly must situation along single.
645,598,168,5,4,47.05,0.08,1.21,N,Pending,2023-07-17,2024-01-12,2023-02-22,Good gun success he ready just.,Land,Structure call eye often.
646,232,56,1,6,62.91,0.35,4.5,N,Shipped,2023-10-16,2023-02-20,2023-08-01,Write pay leg resource yet better fear.,Sea,Break carry necessary wear military.
647,460,74,3,9,92.47,0.27,8.11,N,Pending,2023-08-27,2023-12-13,2023-10-20,Hour evidence whatever sell above.,Air,All budget claim could thousand act anyone.
648,403,84,1,2,38.41,0.2,3.95,Y,Shipped,2023-07-28,2023-12-24,2024-01-09,Away service address writer.,Air,Help voice move bring.
649,25,88,4,8,16.79,0.09,4.74,Y,Pending,2023-04-05,2023-08-10,2023-10-02,Law right site member great.,Land,Ready make investment.
650,288,148,1,3,93.69,0.4,8.06,N,Shipped,2023-03-10,2023-11-12,2023-02-17,Mr protect feeling article attorney.,Land,Less south business summer spend environment.
651,260,115,1,6,32.84,0.0,3.17,Y,Shipped,2023-12-08,2023-04-13,2023-10-06,Music let just himself senior back decide.,Land,Right upon or within through.
652,369,20,4,2,49.27,0.17,7.35,N,Pending,2023-03-19,2024-01-02,2023-11-20,Sometimes apply act job child Republican church.,Air,Truth someone inside officer.
653,302,27,2,1,16.86,0.42,9.55,Y,Pending,2023-06-10,2023-04-16,2023-05-25,Ok everybody wind cover beat hope chance.,Air,Out challenge fill treatment body begin.
654,197,173,4,1,78.81,0.36,8.25,Y,Shipped,2023-07-20,2023-06-28,2023-04-15,Their a interest about fall.,Sea,Soldier ten structure several.
655,991,43,4,9,80.43,0.41,6.6,N,Pending,2023-10-23,2023-12-20,2023-12-04,Return pick teach too miss field.,Land,Practice bad major fly.
656,116,12,4,1,18.46,0.02,4.25,N,Pending,2023-07-02,2023-09-24,2023-06-16,Three even yeah special.,Air,Production argue work hear upon total.
657,840,138,3,6,71.07,0.18,7.6,N,Pending,2023-11-21,2023-10-15,2023-08-08,Hair realize night family can particular claim.,Land,Industry still collection say recent before would.
658,835,180,2,1,28.66,0.39,6.59,Y,Shipped,2023-10-01,2023-04-08,2023-03-24,List performance simply want exactly military.,Sea,Number thousand late none American amount everybody.
659,993,186,2,6,64.05,0.37,2.97,N,Shipped,2023-12-10,2023-05-12,2023-09-18,Career back few.,Air,Daughter why until outside issue play alone.
660,710,17,4,9,42.94,0.41,1.32,N,Pending,2023-06-21,2023-09-25,2023-08-09,Coach physical situation member writer.,Land,On so fund wide.
661,74,5,5,8,28.58,0.38,7.95,N,Pending,2023-02-21,2023-09-12,2023-03-25,Here want try recently their.,Land,A left painting the.
662,52,50,5,3,37.48,0.42,6.06,N,Pending,2023-06-06,2023-05-03,2023-08-18,Any so region friend reduce more picture someone.,Sea,Recent defense speak happen.
663,561,22,1,8,37.35,0.05,1.58,Y,Pending,2023-05-08,2023-02-22,2023-09-20,Rise go protect.,Land,Ahead wide reveal possible.
664,310,199,2,4,76.41,0.02,7.61,N,Pending,2023-09-24,2024-01-07,2023-10-12,Five though scientist kid test bring military.,Air,Structure north Republican thing method list.
665,997,173,2,6,44.85,0.0,7.86,Y,Pending,2023-03-04,2024-01-27,2023-04-15,Debate treat lead there model outside necessary.,Sea,Chair market industry beautiful son.
666,278,142,2,6,77.65,0.3,8.38,Y,Shipped,2023-03-20,2024-02-12,2023-09-28,Outside imagine whom research measure spring practice.,Air,Major first foot American actually region work.
667,782,80,2,1,60.38,0.19,5.86,N,Pending,2023-09-04,2023-06-08,2024-01-19,Bank factor need.,Sea,Building long I area of second.
668,171,163,4,2,50.49,0.16,3.45,N,Pending,2023-02-20,2023-10-15,2023-06-24,Pattern maybe improve suddenly travel.,Land,Worker impact bill bank operation.
669,852,11,4,7,52.51,0.46,8.14,Y,Shipped,2023-08-23,2023-03-19,2023-05-21,Decision herself authority painting miss.,Sea,Artist down your deal east yet place.
670,649,183,5,4,25.26,0.3,8.16,Y,Pending,2023-03-06,2023-02-28,2023-03-13,Report onto outside wind.,Air,Theory western argue finally long.
671,11,151,3,2,85.53,0.35,6.22,Y,Pending,2023-03-10,2023-09-05,2023-11-28,Star high true explain modern turn.,Air,Edge believe building its.
672,730,116,1,9,59.04,0.35,3.52,N,Shipped,2023-10-25,2023-03-09,2023-12-02,Side agency fight particularly ready technology when.,Air,Card technology training ten.
673,254,106,4,9,53.08,0.06,9.54,N,Pending,2023-07-19,2023-06-08,2024-01-07,Anyone help one.,Sea,Attention toward stock first.
674,641,180,4,2,57.99,0.35,8.5,Y,Shipped,2023-09-20,2023-09-10,2023-02-28,Skin wrong only answer name.,Sea,List organization professional study.
675,642,60,2,10,36.5,0.49,1.69,Y,Shipped,2024-02-12,2023-10-23,2023-11-09,Her work drive seat claim.,Air,Skill sit common Mr step visit relationship.
676,691,196,5,8,83.8,0.08,7.87,N,Shipped,2024-01-17,2023-02-18,2023-09-15,No lay set phone or meeting development.,Air,His force defense music live less participant.
677,524,39,5,4,56.51,0.29,8.97,Y,Shipped,2023-09-01,2023-08-29,2023-03-26,His career total create.,Land,Resource product environment social try area true.
678,596,9,1,7,89.15,0.04,6.68,Y,Shipped,2023-02-26,2023-12-31,2023-08-06,Just compare stay short reason what.,Land,Grow religious evidence others.
679,495,128,1,10,40.12,0.29,4.94,Y,Shipped,2023-02-20,2023-06-04,2023-03-11,Role wear toward manager.,Sea,Until large around food simply.
680,623,154,2,6,60.95,0.15,6.38,Y,Shipped,2023-09-06,2023-10-05,2023-09-27,Later information together add vote worry after.,Land,Particularly three somebody several.
681,338,19,2,5,53.39,0.26,6.97,N,Pending,2023-03-21,2023-10-27,2023-11-20,Particularly campaign her serious his.,Sea,Wrong person physical doctor she research yeah.
682,382,199,5,10,82.06,0.18,8.68,N,Pending,2023-09-16,2023-03-17,2023-07-11,Player no thousand.,Land,Tree best culture every seem mean.
683,840,148,5,10,76.13,0.48,2.98,Y,Shipped,2023-05-01,2023-06-26,2023-03-27,Right its art window blood father space.,Air,Key night move.
684,998,64,3,5,38.74,0.03,8.11,Y,Pending,2024-02-05,2023-03-25,2023-03-11,Also stage produce age bit letter as.,Air,Fill camera read present our through employee.
685,651,154,5,7,85.08,0.1,8.66,N,Shipped,2023-04-05,2023-06-08,2023-12-23,Others president have animal sometimes.,Sea,Sport up member voice up edge.
686,544,121,3,9,62.48,0.38,8.38,Y,Shipped,2024-01-13,2023-09-06,2023-07-11,Form thus in rule door kind weight feeling.,Air,Forget all offer continue human any yard respond.
687,32,93,4,4,93.6,0.11,6.8,Y,Pending,2023-05-07,2023-10-13,2023-10-27,Health carry beautiful people next either.,Land,Term create whose affect myself where.
688,597,67,3,10,47.95,0.14,6.37,Y,Pending,2023-12-21,2024-01-19,2023-12-14,Democrat character capital police.,Air,Congress number professor majority traditional three.
689,822,69,1,4,75.37,0.39,9.51,N,Shipped,2023-12-19,2023-10-06,2023-02-16,Gas feeling network ok popular staff.,Air,Power impact control director feeling method wind.
690,517,176,4,10,93.33,0.02,3.24,N,Shipped,2023-11-01,2023-03-29,2023-08-12,Site past reality write keep record.,Sea,Product fight resource skill teach.
691,298,57,5,4,81.48,0.14,9.2,Y,Pending,2023-10-02,2023-10-06,2023-06-27,Week range owner for occur off factor.,Air,Drug how bad I and heavy recent.
692,969,193,5,7,66.47,0.04,9.36,N,Pending,2023-12-07,2023-04-03,2023-08-29,Toward single series especially public fund everything.,Sea,List yeah police body receive situation television power.
693,367,34,5,7,54.67,0.14,3.11,N,Pending,2023-05-04,2023-12-02,2023-03-28,Shoulder song trip.,Land,Generation base sort instead shake continue letter.
694,90,154,4,1,39.4,0.26,9.34,N,Pending,2023-09-17,2023-07-14,2023-11-23,Above though music news experience.,Sea,Class stand right nation smile you million.
695,340,141,4,3,72.67,0.12,4.43,N,Pending,2023-07-12,2023-07-15,2024-02-03,Senior now drug company.,Sea,Hard never apply maybe consumer sell arrive.
696,485,126,4,6,72.19,0.15,9.82,Y,Pending,2023-08-25,2023-03-30,2023-12-19,Study else across item strategy challenge.,Land,Those everybody big author rule.
697,778,103,1,10,57.53,0.28,9.76,Y,Pending,2023-06-17,2023-03-31,2024-01-26,College necessary recognize them billion.,Land,Consumer really industry no.
698,457,172,5,2,88.06,0.37,3.81,N,Pending,2023-03-20,2023-09-19,2023-09-01,Step others project third hold.,Air,Picture avoid as enter soon.
699,767,61,5,5,70.77,0.05,3.61,N,Pending,2023-12-08,2023-06-28,2023-12-30,Answer try property reason president specific suffer.,Land,Receive over fine system coach.
700,26,77,2,9,59.44,0.03,8.19,N,Pending,2023-07-29,2023-10-28,2024-02-11,Religious strategy suggest work describe least air.,Sea,Face mention return.
701,197,125,2,1,13.38,0.28,2.94,N,Shipped,2023-05-02,2023-07-29,2023-06-08,Wish easy appear it which.,Sea,Hand notice page our.
702,298,15,5,8,77.12,0.47,5.41,N,Pending,2023-07-04,2023-12-13,2023-03-31,Series fast activity central.,Sea,Body determine age identify.
703,252,87,2,1,54.56,0.19,9.07,Y,Shipped,2023-02-15,2023-06-10,2024-01-01,Discover black stay friend whose appear poor what.,Air,Process year lay treat remember ever.
704,743,192,3,10,43.48,0.24,1.24,Y,Pending,2023-03-23,2023-12-02,2023-09-03,High state whom throw throw claim standard drive.,Sea,Action people loss at car.
705,1000,149,4,10,95.93,0.22,1.58,Y,Pending,2023-02-14,2023-07-28,2023-11-23,Success member of firm.,Air,Step language stage product tell.
706,635,127,3,10,74.95,0.24,6.09,Y,Pending,2023-10-05,2023-04-18,2023-12-18,Try range practice arm quality up defense.,Land,Eye beyond another year throughout catch almost.
707,916,182,5,5,12.72,0.3,2.73,N,Pending,2024-01-09,2023-02-13,2023-02-20,Word hit indicate along middle together.,Air,Meeting decision his third design voice office.
708,448,175,2,9,70.92,0.45,8.85,Y,Shipped,2023-08-31,2023-04-28,2023-12-26,Something his always eat true who.,Land,Threat career lot in government.
709,321,69,5,6,82.58,0.32,9.91,Y,Pending,2023-05-13,2023-06-04,2023-07-27,Standard certainly investment near.,Sea,Condition teach space sport drop road.
710,516,123,2,3,84.22,0.47,7.94,Y,Pending,2023-05-01,2023-10-09,2024-01-29,Let performance question cup number water.,Air,Together perform woman.
711,710,122,1,4,29.7,0.45,1.46,N,Pending,2023-08-26,2023-11-17,2023-12-05,Evidence kitchen member fight.,Land,Eat church practice help responsibility fight particular.
712,79,84,5,8,31.46,0.04,9.08,N,Pending,2023-09-27,2023-08-24,2023-04-27,Quickly save head your expert determine.,Air,General example nearly it.
713,738,119,5,3,35.26,0.01,4.77,Y,Pending,2023-04-15,2023-08-09,2023-05-04,Quality above enjoy should item possible loss card.,Air,Act pattern daughter college action smile.
714,902,20,4,1,28.75,0.29,6.53,Y,Pending,2023-10-20,2023-05-21,2023-03-01,Rest model half whole.,Land,Southern soldier activity car.
715,8,50,5,2,10.23,0.37,6.74,N,Pending,2023-03-23,2023-07-19,2023-08-30,Head behavior ago.,Air,Expect why factor run more tonight.
716,970,120,2,3,93.87,0.4,9.01,N,Pending,2023-10-25,2023-03-22,2023-04-29,Fish back enjoy development ask.,Air,Likely view time personal.
717,479,104,2,9,36.35,0.09,8.49,N,Pending,2024-02-03,2024-01-10,2023-04-29,Structure whom message direction gas.,Air,Other home learn.
718,563,119,4,1,52.85,0.4,9.95,N,Pending,2023-08-28,2023-04-12,2023-07-26,Rule sort author air investment.,Land,Anyone career evening clear many.
719,937,118,4,8,49.48,0.11,3.68,N,Shipped,2023-04-27,2024-01-17,2023-09-08,Question name eye maybe interview.,Land,Wear think career report lot star.
720,421,187,2,6,73.8,0.04,7.03,N,Shipped,2023-10-02,2024-01-13,2023-08-08,Live truth authority maintain suggest agent.,Sea,Player trial record team concern medical.
721,952,131,1,5,57.06,0.23,7.05,N,Pending,2023-03-24,2023-03-03,2023-04-17,Again somebody who.,Sea,Guess direction wish.
722,386,186,3,10,32.8,0.17,9.29,Y,Pending,2023-05-25,2023-10-06,2023-08-09,Magazine letter message day whom college.,Sea,Idea manage know remain price new debate.
723,685,96,3,5,18.73,0.26,3.63,Y,Pending,2023-09-06,2023-03-11,2024-02-07,During indeed suddenly project difficult these.,Sea,Husband call per order billion produce page best.
724,58,103,3,5,59.09,0.42,8.71,N,Pending,2023-11-09,2023-09-28,2023-12-21,Without protect TV show.,Sea,By everybody fall item must together.
725,458,28,1,1,43.78,0.08,4.55,N,Pending,2023-02-17,2023-05-21,2023-12-31,Similar improve safe particularly.,Land,Everyone early shoulder.
726,487,170,1,5,82.1,0.33,3.89,Y,Pending,2023-09-06,2023-10-28,2023-11-19,Whatever Republican culture recently factor director.,Air,Rate do decision fall say all.
727,816,45,5,9,42.31,0.38,8.63,Y,Pending,2023-04-16,2023-11-11,2023-02-20,Deep daughter edge media evening truth.,Sea,Up theory thank apply.
728,677,54,3,3,97.58,0.17,1.32,N,Shipped,2023-05-15,2023-11-24,2023-03-14,Art really spring no.,Land,Common product assume both long customer month.
729,698,26,4,4,30.58,0.48,1.83,Y,Pending,2023-07-23,2023-05-10,2024-02-08,Message child feel trade.,Air,Bank lawyer president.
730,181,12,1,8,10.32,0.04,7.69,N,Shipped,2023-03-23,2023-09-11,2023-08-14,Start account food black record continue.,Air,Act thus issue soon.
731,906,71,2,8,24.73,0.19,1.19,Y,Pending,2023-08-28,2023-07-10,2023-04-10,For skin special him yes first.,Land,Line agent current discover of.
732,504,36,3,1,63.93,0.45,5.46,Y,Pending,2023-08-18,2023-05-27,2023-06-19,Bit agent necessary catch right mention.,Sea,Story situation friend into building across threat.
733,780,25,5,6,15.68,0.37,6.61,N,Shipped,2023-02-13,2023-06-13,2023-03-28,Company actually prevent go evening time.,Air,Nature strategy take new himself foot difference.
734,526,125,2,5,47.01,0.11,5.18,Y,Shipped,2023-08-31,2023-02-20,2023-11-14,Similar campaign role more impact history.,Land,Late like prepare computer water law.
735,419,29,5,10,22.35,0.21,1.86,N,Shipped,2023-12-29,2023-10-19,2024-01-17,Middle strategy effort member federal spend.,Air,Half down that step indicate.
736,824,138,4,7,54.38,0.2,7.74,Y,Shipped,2023-11-01,2024-02-08,2023-09-21,Way help certain election.,Sea,Happy allow full science although talk article.
737,552,45,5,6,90.58,0.02,8.26,N,Shipped,2023-10-12,2024-02-03,2023-03-21,Son contain modern skill decade.,Air,Action late industry fall discover sea behavior.
738,704,143,5,6,57.46,0.2,5.16,N,Shipped,2023-06-09,2023-04-06,2023-02-21,Begin across recognize these ago Democrat stuff.,Sea,Forget form beautiful.
739,265,9,1,4,41.5,0.17,2.87,Y,Shipped,2023-06-15,2023-04-13,2023-11-05,Play international trouble rest.,Sea,Focus whatever quickly head office present.
740,112,181,1,5,81.57,0.5,8.58,Y,Shipped,2024-01-23,2023-03-26,2024-01-10,Bank same tend possible population travel.,Land,Son book individual stock carry performance.
741,503,188,2,7,33.27,0.43,7.25,N,Pending,2023-10-05,2023-02-27,2023-08-24,Edge better carry student.,Air,Hand than name stop can eight amount public.
742,917,89,5,2,22.89,0.45,1.38,N,Shipped,2023-08-21,2023-11-13,2024-01-24,Art let none either look total really.,Air,Design must find third various fall.
743,330,173,2,1,86.18,0.06,1.83,N,Pending,2023-06-24,2023-12-29,2023-09-15,Low behavior eat move.,Land,Throughout I design something very few have.
744,583,170,3,6,49.97,0.12,7.27,Y,Shipped,2023-05-29,2023-07-02,2023-04-16,Camera technology pick citizen.,Land,Improve later shake window six front.
745,421,183,3,8,18.03,0.35,3.09,N,Shipped,2023-05-25,2023-08-10,2023-08-01,Beyond authority discuss mother.,Land,Purpose start he pick increase you.
746,398,20,1,1,37.71,0.44,9.69,N,Pending,2024-01-28,2023-08-22,2023-03-02,City stuff yard lot American cost most.,Land,Notice since space as show.
747,572,51,1,5,15.63,0.47,1.26,Y,Pending,2023-07-20,2023-12-17,2023-03-13,To model run three.,Land,Any garden upon series hit nature.
748,934,14,4,7,44.74,0.08,1.23,Y,Shipped,2023-05-08,2023-06-10,2023-08-25,Show mother own newspaper instead.,Air,Address trade involve middle when.
